TEMPO;BPM
01:24:53;39
01:24:55;38
01:24:56;39
01:24:59;238
01:25:02;238
01:25:11;42
01:25:24;45
01:25:25;47
01:25:25;51
01:25:25;55
01:25:26;61
01:25:26;69
01:25:26;79
01:25:27;83
01:25:28;93
01:25:28;110
01:25:28;134
01:25:29;153
01:25:29;163
01:25:31;116
01:25:32;100
01:25:35;109
01:25:38;202
01:25:46;27
01:25:48;28
01:25:48;30
01:25:49;33
01:25:53;102
01:25:54;104
01:25:54;109
01:25:54;109
01:25:54;116
01:25:54;122
01:25:55;131
01:25:55;142
01:25:56;139
01:25:56;145
01:25:56;157
01:25:57;172
01:25:57;181
01:25:57;184
01:25:58;169
01:25:58;169
01:25:58;169
01:25:58;169
01:25:59;167
01:26:00;166
01:26:01;136
01:26:01;125
01:26:02;123
01:26:02;111
01:26:03;112
01:26:03;112
01:26:05;89
01:26:06;78
01:26:07;78
01:26:07;77
01:26:08;86
01:26:08;85
01:26:09;85
01:26:09;89
01:26:09;93
01:26:10;90
01:26:10;113
01:26:10;137
01:26:11;153
01:26:11;162
01:26:11;164
01:26:11;188
01:26:12;200
01:26:12;209
01:26:12;213
01:26:13;232
01:26:13;236
01:26:13;236
01:26:13;236
01:26:14;236
01:26:14;236
01:26:14;235
01:26:14;235
01:26:15;234
01:26:15;234
01:26:15;234
01:26:15;234
01:26:16;234
01:26:16;234
01:26:16;234
01:26:16;234
01:26:17;234
01:26:17;234
01:26:17;234
01:26:17;234
01:26:18;234
01:26:18;234
01:26:18;234
01:26:18;234
01:26:19;234
01:26:19;234
01:26:19;234
01:26:19;234
01:26:29;92
01:26:29;96
01:26:30;95
01:26:30;98
01:26:31;101
01:26:31;108
01:26:31;116
01:26:32;126
01:26:32;137
01:26:32;151
01:26:32;167
01:26:33;172
01:26:33;196
01:26:33;209
01:26:34;199
01:26:34;182
01:26:35;177
01:26:35;176
01:26:35;176
01:26:35;176
01:26:36;176
01:26:36;178
01:26:36;182
01:26:36;182
01:26:37;189
01:26:37;209
01:26:37;215
01:26:38;215
01:26:38;217
01:26:38;216
01:26:38;216
01:26:39;217
01:26:39;216
01:26:39;216
01:26:39;234
01:26:40;236
01:26:40;236
01:26:40;236
01:26:40;235
01:26:41;236
01:26:41;236
01:26:41;235
01:26:42;234
01:26:42;234
01:26:42;233
01:26:42;232
01:26:43;232
01:26:43;232
01:26:43;233
01:26:43;233
01:26:44;231
01:26:44;232
01:26:44;234
01:26:44;233
01:26:45;229
01:26:45;230
01:26:45;229
01:26:45;229
01:26:46;229
01:26:46;229
01:26:47;200
01:26:47;192
01:26:47;183
01:26:48;184
01:26:48;186
